brand,total_outbound_tweets,threads_count,total_tweets_in_threads,inbound_customer_messages,outbound_brand_responses,avg_conversation_length,median_conversation_length,min_conversation_length,max_conversation_length,bi_directional_conversations,bi_directional_pct,dm_deflection_count,dm_deflection_pct
AppleSupport,13,11,29,16,13,2.64,2,2,4,11,100.0,12,92.31
SpotifyCares,8,2,16,8,8,8,8.0,8,8,2,100.0,0,0.0
Tesco,8,3,16,8,8,5.33,6,3,7,3,100.0,2,25.0
VirginTrains,4,1,7,3,4,7,7,7,7,1,100.0,0,0.0
British_Airways,3,1,5,2,3,5,5,5,5,1,100.0,0,0.0
ChaseSupport,1,1,2,1,1,2,2,2,2,1,100.0,1,100.0
O2,1,1,2,1,1,2,2,2,2,1,100.0,1,100.0
comcastcares,1,1,2,1,1,2,2,2,2,1,100.0,1,100.0
sprintcare,1,1,2,1,1,2,2,2,2,1,100.0,1,100.0
SouthwestAir,1,1,3,2,1,3,3,3,3,1,100.0,0,0.0
